club,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,embed_x,embed_y,country,transfers_out,total_fee_out,transfers_in,total_fee_in,total_transfers,total_fee_involved,degree,in_degree,out_degree,weighted_in_degree,weighted_out_degree,weighted_degree,pagerank,louvain_cluster,louvain_cluster_label
Wigan Athletic,0.20781863,-0.34401548,0.27985927,0.15622877,-0.04541146,-0.4878448,-0.039934717,-0.22518307,-0.25806656,0.44288585,-0.33524153,-0.2895866,-0.3090804,0.0300121,-0.14518216,0.76620394,-0.09767728,-0.2030327,0.3266692,0.078998834,0.44514912,-0.1426148,-0.25563717,-0.23842365,-0.4775411,0.063684255,-0.47731966,-0.08436759,0.1234903,-0.4582365,0.04920135,-0.0760463,-0.3320913,-0.06117537,-0.41706634,-0.37484196,-0.009979991,0.08133399,0.076987065,0.018580884,-0.30844346,-0.04853533,-0.069834605,0.17760028,-0.10202127,0.14950864,-0.112408385,-0.15563598,0.005411552,0.10122686,0.25674,0.048765905,0.048374265,-0.06256245,-0.2563352,-0.41269878,-0.09462437,0.21632117,-0.15980323,-0.31453755,-0.16839103,-0.102748156,-0.08551188,-0.39854267,0.033024654,0.44181192,England,143.0,153050000.0,155.0,81775000.0,298.0,234825000.0,144,75,69,155,143,298,0.0019375527670296,0,England / Scotland
Molde FK,0.27164072,-0.39452,-0.13786374,-0.545803,-0.49529123,0.04168064,0.40011713,-0.0786105,-0.2711641,0.11289954,0.53439236,-0.28326416,-0.122349374,0.19951108,-0.32533872,0.60154176,-0.21624897,0.26476395,0.11509398,0.18856087,0.6943658,-0.31076753,-0.5252033,-0.5983468,-0.46465322,0.13282084,-0.039402813,-0.094726704,-0.101060644,-0.14458895,0.07219714,-0.20235857,0.062951095,0.27466342,-0.5477996,0.42734566,0.23594514,0.019890815,-0.034290355,0.01429548,0.0007199244,0.09825818,-0.50072724,-0.65733886,-0.07454583,-0.107127845,-0.44871658,-0.45868006,0.402759,0.029947499,0.2347339,-0.2381267,0.021429822,-0.06513098,-0.12219677,-0.06690907,-0.104317635,-0.15443064,-0.6033347,0.38155594,-0.2678434,-0.25940722,-0.24013871,-0.047494434,0.052528843,0.6903894,Norway,16.0,17260000.0,8.0,2000000.0,24.0,19260000.0,17,6,11,8,16,24,0.0001370179331206,0,England / Scotland
FC Girondins Bordeaux,0.10954974,-0.5212523,0.17175454,-0.21134014,0.43422747,0.12097643,0.11701353,-0.27615193,-0.000448855,0.059468612,0.08386448,-0.34830812,-0.43171984,0.2636518,0.15149736,0.3394698,-0.011264935,0.33250907,0.109288484,-0.100028895,-0.0697812,0.41355988,0.0040974035,-0.4892099,0.22507685,0.2391955,-0.336563,-0.004467497,-0.14815849,-0.03034809,0.05048122,0.31842136,-0.019111883,0.22977541,-0.1963883,0.103640705,0.17702608,-0.31848162,-0.5112385,0.62913567,-0.18686666,0.3104548,-0.009390669,-0.20935069,-0.31030717,0.1661287,-0.15299217,-0.14337468,0.034068204,0.20410903,0.012254694,0.31696752,0.0038851132,-0.17649616,0.11581544,-0.029173099,-0.050479338,0.07710441,-0.3289148,-0.097830616,-0.039630376,-0.4031091,-0.040744927,0.27350968,-0.067827,0.08787088,France,256.0,471620000.0,272.0,251180000.0,528.0,722800000.0,218,99,119,272,256,528,0.002861677550096,1,France / Belgium
Newcastle United,0.17161329,-0.5627641,-0.17261723,-0.32513145,0.1453689,-0.33234903,-0.3784203,-0.22822714,0.24950421,0.2209154,0.07561247,0.1723099,-0.22231565,0.021543203,-0.12013835,0.68174416,0.030170755,-0.29861623,0.3011773,0.151857,0.52445585,-0.33685127,-0.003979944,-0.17828274,-0.053227372,0.24824335,-0.3819697,0.030624287,0.1007263,-0.062338583,0.38658062,0.0065013687,-0.007965774,0.10855312,-0.29094017,0.097572856,0.073232375,-0.03552197,-0.19272995,0.14386022,0.07351521,-0.13848776,-0.05407108,0.003531867,0.029117633,0.113457784,0.34480867,-0.3107917,0.29606923,0.23011392,0.3094829,-0.086799264,0.18709703,-0.34759662,0.019344069,-0.08232762,0.10592041,-0.04463657,-0.3104062,0.08246498,-0.29643548,-0.09016733,0.19206055,0.10593191,0.159398,0.4296701,England,274.0,567420000.0,293.0,849790000.0,567.0,1417210000.0,252,128,124,293,274,567,0.0036724238492045,0,England / Scotland
Manchester United U18,0.28574136,-0.37166098,0.53884304,-0.77592444,-0.2453271,-0.57413244,0.06275352,0.19121906,-0.09614188,0.1417412,0.53911936,-0.5286331,-0.4500102,0.024466548,-0.1960721,0.24114941,-0.27486348,-0.17174646,0.44619772,0.28315905,0.29237926,0.2470555,0.36049193,-0.014654042,-0.30603233,-0.34024417,-0.5549238,0.0823764,-0.16156784,-0.26695693,-0.22745523,0.13658264,-0.18715075,0.009073327,-0.5557548,0.15035704,0.012276435,0.15643305,0.13119827,-0.3529221,0.5404411,0.5864918,-0.24592279,-0.33681178,0.23412342,0.1293804,-0.3084289,-0.39111874,0.23464356,0.024411771,-0.06511321,0.30466375,0.37521756,-0.29663113,-0.49731648,-0.050013985,-0.07623718,0.2346798,-0.06592734,0.48704937,-0.10903637,0.22874048,0.3999524,-0.35427016,0.24843119,0.12985823,England,15.0,0.0,0.0,0.0,15.0,0.0,3,0,3,0,15,15,5.9645869287340816e-05,0,England / Scotland
Tottenham Hotspur,0.1064797,-0.23659623,0.05619187,-0.33202404,-0.030598316,-0.069838054,-0.072873846,0.116942115,-0.43007365,0.047147784,0.24663885,-0.12575789,-0.44701454,-0.061421156,0.15449366,0.90023804,-0.32819068,-0.25165406,0.009899518,0.1444664,0.30389836,-0.091542356,-0.03348369,-0.08333528,-0.5507937,-0.047700178,-0.39083645,-0.10040621,0.13320358,-0.13095784,0.28857505,0.016917255,0.18849792,-2.9864394e-05,-0.16572604,0.09955907,0.054265857,-0.06836523,-0.06085669,0.251378,0.10615031,0.054771397,0.24179843,0.2439191,0.19923623,-0.33064705,0.3274782,0.15070045,-0.15904795,0.027737677,0.20272632,-0.0065117683,-0.012322754,0.33517218,0.18909481,-0.20214213,-0.052662086,-0.051481333,0.03258247,0.03783155,-0.1614922,0.19371729,0.23217198,-0.09620561,0.12636738,0.3822844,England,364.0,1268370000.0,359.0,1662810000.0,723.0,2931180000.0,238,119,119,359,364,723,0.0043343632177079,0,England / Scotland
Altrincham FC,-0.08105777,-0.32301185,0.3457791,-0.5856084,0.0031857027,-0.6660534,0.2070346,-0.045399398,-0.11711474,0.1919045,0.09571126,-0.92146146,-0.36610612,-0.02850725,-0.054326005,0.22975005,-0.2500771,-0.27046922,0.47785023,0.17142886,0.76375,-0.01121189,0.3167728,-0.38567483,-0.44774488,0.15865353,-0.38011274,-0.03770273,-0.289727,-0.56465787,-0.19243895,0.1277988,-0.29517406,0.009473912,-0.70465827,0.13232023,0.13086146,0.2084974,0.23903336,-0.22784959,-0.025559649,0.4578656,0.12889633,0.15231682,0.23773724,-0.22669591,-0.6665001,-0.29921183,0.0022765403,-0.15175028,-0.21749796,0.11292348,0.20948468,-0.33181885,-0.31967977,-0.0113349855,-0.014879937,-0.29131794,-0.387188,0.166129,-0.2994123,0.70624083,0.14272784,-0.35175014,0.05085177,0.26805085,England,2.0,0.0,3.0,0.0,5.0,0.0,4,2,2,3,2,5,9.005712822577807e-05,0,England / Scotland
Plymouth Argyle,0.4348076,-0.40349293,0.31522906,0.013179483,0.14747114,-0.44020385,-0.03502535,0.011394511,-0.37539142,0.117685236,0.07669915,-0.40232253,-0.41110864,-0.017009668,-0.39932352,0.71798736,-0.20868652,-0.030556407,0.42640626,0.26888293,0.009206247,-0.2594681,0.21089838,-0.275818,-0.47906902,0.12734297,-0.28306675,0.17917018,0.09919308,-0.48600486,-0.022613168,0.18616049,0.06344891,-0.018540068,-0.36658534,-0.062168412,-0.067147456,0.3490826,-0.20108767,-0.12505704,0.26127252,0.050652057,-0.1801012,0.038954508,-0.10322795,-0.3744886,-0.10062628,-0.20462312,-0.3769213,0.03302554,0.08514444,0.27822775,-0.14699559,0.05726596,-0.16992952,-0.44696888,-0.461165,-0.118991084,-0.00023509513,0.6191078,-0.08050791,0.20024101,0.18594338,0.016737962,-0.11477594,0.44714785,England,17.0,0.0,20.0,50000.0,37.0,50000.0,28,15,13,20,17,37,0.0003009929749883,0,England / Scotland
Huddersfield Town,0.17675902,-0.54013693,-0.2718899,-0.122975886,-0.0002359644,-0.100516096,-0.20669891,-0.30088347,-0.313879,-0.20547459,0.08632387,0.043946736,-0.1428833,-0.2293699,-0.466161,0.5651867,-0.39800686,-0.14139424,0.01288223,0.11378269,0.32301557,-0.23046152,0.055955768,-0.32197714,-0.15068781,0.43222964,-0.3007507,-0.28549513,0.17324862,-0.12743022,0.3307763,-0.07437967,-0.031630903,0.09350393,-0.4133925,0.08065703,0.13931538,-0.044786125,0.21187887,-0.2252736,0.12738147,0.008920923,-0.2216814,-0.019641949,-0.27339908,-0.06807742,0.033627536,-0.19949768,-0.08147974,0.26730016,0.1790675,0.34163556,0.10731945,0.16283977,-0.17216767,0.082577586,-0.019146046,0.38520774,-0.26919428,0.38693205,-0.3414234,0.5206132,0.54470694,-0.021184871,-0.013515025,0.65839857,England,71.0,74485000.0,85.0,186200000.0,156.0,260685000.0,97,46,51,85,71,156,0.0011308657122698,0,England / Scotland
Wycombe Wanderers,0.22543916,-0.43091235,0.08936326,-0.14362845,0.01905248,-0.43372166,0.11421927,0.19926792,-0.08000517,0.18645804,0.068235755,-0.06155412,-0.41001987,-0.033049215,0.2194333,0.8668331,-0.22722352,-0.5521526,0.6844996,0.16607395,0.32659742,-0.21812437,0.030784603,-0.1853795,-0.21355568,0.14784098,-0.6626679,-0.016067697,0.1644871,-0.3636401,0.32237804,0.123631895,0.047293313,0.11406927,-0.3658014,-0.07165011,0.08901097,-0.17100008,0.14103287,-0.043221205,0.1465656,-0.35823452,0.03031752,0.21931596,-0.08385903,-0.41778198,0.18761688,-0.15497331,-0.06058365,0.34680843,0.09811121,-0.08875801,-0.19835272,0.3347086,0.27991608,-0.38644984,0.15642494,0.19567448,-0.1687869,-0.15289763,-0.20535325,0.040885407,0.09846231,-0.17212406,0.09768377,0.5178729,England,17.0,400000.0,17.0,0.0,34.0,400000.0,24,11,13,17,17,34,0.0002563683476954,0,England / Scotland
