club,country,transfers_out,total_fee_out,transfers_in,total_fee_in,total_transfers,total_fee_involved,degree,in_degree,out_degree,weighted_in_degree,weighted_out_degree,weighted_degree,pagerank,louvain_cluster,louvain_cluster_label
Wigan Athletic,England,143.0,153050000.0,155.0,81775000.0,298.0,234825000.0,144,75,69,155,143,298,0.0019375527670296,0,England / Scotland
Molde FK,Norway,16.0,17260000.0,8.0,2000000.0,24.0,19260000.0,17,6,11,8,16,24,0.0001370179331206,0,England / Scotland
FC Girondins Bordeaux,France,256.0,471620000.0,272.0,251180000.0,528.0,722800000.0,218,99,119,272,256,528,0.002861677550096,1,France / Belgium
Newcastle United,England,274.0,567420000.0,293.0,849790000.0,567.0,1417210000.0,252,128,124,293,274,567,0.0036724238492045,0,England / Scotland
Manchester United U18,England,15.0,0.0,0.0,0.0,15.0,0.0,3,0,3,0,15,15,5.9645869287340816e-05,0,England / Scotland
Tottenham Hotspur,England,364.0,1268370000.0,359.0,1662810000.0,723.0,2931180000.0,238,119,119,359,364,723,0.0043343632177079,0,England / Scotland
Altrincham FC,England,2.0,0.0,3.0,0.0,5.0,0.0,4,2,2,3,2,5,9.005712822577807e-05,0,England / Scotland
Plymouth Argyle,England,17.0,0.0,20.0,50000.0,37.0,50000.0,28,15,13,20,17,37,0.0003009929749883,0,England / Scotland
Huddersfield Town,England,71.0,74485000.0,85.0,186200000.0,156.0,260685000.0,97,46,51,85,71,156,0.0011308657122698,0,England / Scotland
Wycombe Wanderers,England,17.0,400000.0,17.0,0.0,34.0,400000.0,24,11,13,17,17,34,0.0002563683476954,0,England / Scotland
Watford FC,England,247.0,343680000.0,313.0,566735000.0,560.0,910415000.0,226,119,107,313,247,560,0.0034464204747537,0,England / Scotland
Bury FC,England,13.0,0.0,16.0,0.0,29.0,0.0,20,10,10,16,13,29,0.0002504563840309,0,England / Scotland
Manchester United,England,289.0,1042220000.0,285.0,2954560000.0,574.0,3996780000.0,224,112,112,285,289,574,0.0030360910291478,0,England / Scotland
Portsmouth FC,England,91.0,117045000.0,88.0,17540000.0,179.0,134585000.0,94,44,50,88,91,179,0.001171349980365,0,England / Scotland
AS Roma,Italy,727.0,1718348000.0,413.0,3384029000.0,1140.0,5102377000.0,370,120,250,413,727,1140,0.0039497584067987,2,Italy / Romania
AEK Athens,Greece,25.0,7050000.0,39.0,5535000.0,64.0,12585000.0,51,29,22,39,25,64,0.0004690564752753,3,Spain / Argentina
Liverpool FC U18,England,12.0,0.0,0.0,0.0,12.0,0.0,2,0,2,0,12,12,5.964586928733951e-05,0,England / Scotland
Swindon Town,England,24.0,0.0,28.0,730000.0,52.0,730000.0,25,13,12,28,24,52,0.0003725179655284,0,England / Scotland
Tranmere Rovers,England,23.0,0.0,27.0,0.0,50.0,0.0,29,15,14,27,23,50,0.0003642945022309,0,England / Scotland
Leicester City,England,188.0,694620000.0,222.0,1027535000.0,410.0,1722155000.0,205,107,98,222,188,410,0.0028191297297904,0,England / Scotland
FC Cartagena,Spain,27.0,1300000.0,43.0,0.0,70.0,1300000.0,44,25,19,43,27,70,0.0005201577360902,3,Spain / Argentina
Bradford City,England,20.0,350000.0,30.0,0.0,50.0,350000.0,31,17,14,30,20,50,0.0004133774061331,0,England / Scotland
Northampton Town,England,17.0,360000.0,21.0,0.0,38.0,360000.0,23,12,11,21,17,38,0.0003150433382716,0,England / Scotland
Hertha BSC,Germany,207.0,293410000.0,208.0,394310000.0,415.0,687720000.0,178,82,96,208,207,415,0.0025430884607667,6,Germany / Austria
